"","id","description"
"694","satcity","City or place R lives in"
"695","sathobby","Non-working activities, hobbies"
"696","satfam","Family life"
"697","satfrnd","Friendships"
"698","sathealt","Health and physical condition"
"699","confinan","Confid in banks & financial institutions"
"700","conbus","Confidence in major companies"
"701","conclerg","Confidence in organized religion"
"702","coneduc","Confidence in education"
"703","confed","Confid. in exec branch of fed govt"
"704","conlabor","Confidence in organized labor"
"705","conpress","Confidence in press"
"706","conmedic","Confidence in medicine"
"707","contv","Confidence in television"
"708","conjudge","Confid. in united states supreme court"
"709","consci","Confidence in scientific community"
"710","conlegis","Confidence in congress"
"711","conarmy","Confidence in military"
"712","confinay","Banks & financial institutions:Ver Z"
"713","conbusy","Major companies:Version Z"
"714","conclery","Organized religion:Version Z"
"715","coneducy","Education:Version Z"
"716","confedy","Exec branch fed govt:Version Z"
"717","conlaboy","Organized labor:Version Z"
"718","conpresy","Press:Version Z"
"719","conmediy","Medicine:Version Z"
"720","contvy","Television:Version Z"
"721","conjudgy","United states supreme court:Version Z"
"722","consciy","Scientific community:Version Z"
"723","conlegiy","Congress:Version Z"
"724","conarmyy","Military:Version Z"
"725","manners","Good manners"
"726","success","Tries hard to succeed"
"727","honest","Honest"
"728","clean","Neat and clean"
"729","judgment","Good sense and sound judgment"
"730","control","Self-control"
"731","role","Acts like boy-acts like girl"
"732","amicable","Gets along well with other children"
"733","obeys","Obeys parents well"
"734","responsi","Responsible"
"735","consider","Considerate of others"
"736","interest","Interested how and why things happen"
"737","studious","Good student"
"738","mannersy","Good manners-Version Y"
"739","successy","Tries hard to succeed-Version Y"
"740","honesty","Honest-Version Y"
"741","cleany","Neat and clean-Version Y"
"742","judgmeny","Good sense, sound judgment-Version Y"
"743","controly","Self-control-Version Y"
"744","roley","Acts like boy-acts like girl-Version Y"
"745","amicably","Gets along with other children-Version Y"
"746","obeysy","Obeys parents well-Version Y"
"747","responsy","Responsible-Version Y"
"748","considey","Considerate of others-Version Y"
"749","interesy","Interested how things happen-Version Y"
"750","studiouy","Good student-Version Y"
"751","mannersz","Good manners-Version Z"
"752","successz","Tries hard to succeed-Version Z"
"753","honestz","Honest-Version Z"
"754","cleanz","Neat and clean-Version Z"
"755","judgmenz","Good sense, sound judgment-Version Z"
"756","controlz","Self-control-Version Z"
"757","rolez","Acts like boy-acts like girl-Version Z"
"758","amicablz","Gets along with other children-Version Z"
"759","obeysz","Obeys parents well-Version Z"
"760","responsz","Responsible-Version Z"
"761","considez","Considerate of others-Version Z"
"762","interesz","Interested how things happen-Version Z"
"763","studiouz","Good student-Version Z"
"764","obey","To obey"
"765","popular","To be well liked or popular"
"766","thnkself","To think for ones self"
"767","workhard","To work hard"
"768","helpoth","To help others"
"769","chldsex","Qualities for boys or girls"
"770","chldsex1","Qualities for boys or girls:variant"
"771","youngen","What should younger generation be taught"
"772","socrel","Spend evening with relatives"
"773","socommun","Spend evening with neighbor"
"774","socfrend","Spend evening with friends"
"775","socbar","Spend evening at bar"
"776","socpars","Spend evening with parents"
"777","socsibs","Spend evening with siblings"
"778","aged","Should aged live with their children"
"779","drink","Ever drink alcoholic beverages?"
"780","drunk","Ever drink too much?"
"781","smoke","Does R smoke"
"782","quitsmk","Ever tried to quit smoking"
"783","smokecig","Does R smoke cigarettes"
"784","cigweek","Has R smoked cigarettes in last week"
"785","evsmoke","Has R ever smoked"
"786","anomia1","Next to health, money is most important"
"787","anomia2","Wonder if anything is worthwhile"
"788","anomia3","No right & wrong ways to make money"
"789","anomia4","Live only for today"
"790","anomia5","Lot of the average man getting worse"
"791","anomia6","Not fair to bring child into world"
"792","anomia7","Officials not interested in average man"
"793","anomia8","Don't know whom to trust"
"794","anomia9","Most don't care what happens to others"
"795","joblose","Is R likely to lose job"
"796","jobfind","Could R find equally good job"
"797","satjob","Work satisfaction"
"798","richwork","If rich, continue or stop working"
"799","jobinc","High income"
"800","jobsec","No danger of being fired"
"801","jobhour","Short working hours"
"802","jobpromo","Chances for advancement"
"803","jobmeans","Work important and feel accomplishment"
"804","jobkeep","Job security"
"805","jobpay","High income"
"806","jobrise","Opportunity for advancement"
"807","jobhonor","Occupation is recognized and respected"
"808","joboff","Leaves time for leisure"
"809","jobinter","Interesting work"
"810","jobindep","Allows one to work independently"
"811","jobresp","Responsible job tasks"
"812","jobpeop","Contact with other people"
"813","jobhelp","Can help others"
"814","jobsoc","Useful to society"
"815","jobaccmp","Doing something meaningful"
"816","jobsafe","Safe conditions"
"817","class","Subjective class identification"
"818","classy","Subjective social class-Version Y"
"819","rank","R's self ranking of social position"
"820","rank10","R's social rank 10 years ago"
"821","satfin","Satisfaction with financial situation"
"822","finalter","Change in financial situation"
"823","finrela","Opinion of family income"
"824","incneed","Income family needs"
"825","mininc","Minimum amount of income needed per week"
"826","wksub","Does R or spouse have supervisor"
"827","wksubs","Does supervisor have supervisor"
"828","wksup","Does R or spouse supervise anyone"
"829","wksups","Does subordinate supervise anyone"
"830","unemp","Ever unemployed in last ten yrs"
"831","govaid","Ever receive welfare, unemp insur, etc."
"832","getaid","Ever received welfare?"
"833","union","Does R or spouse belong to union"
"834","getahead","Opinion of how people get ahead"
"835","parsol","R's living standard compared to parents"
"836","kidssol","R's kids living standard compared to R"
"837","fehome","Women take care of home not country"
"838","fework","Should women work"
"839","fepres","Vote for woman president"
"840","fepol","Women not suited for politics"
"841","fepoly","Men or women better suited for politics"
"842","feimp","Importance of women's rights issue to R"
"843","feinfo","How much info R has on women's rgts"
"844","fefirm","How firm Is R's opinion on women's rghts"
"845","fecare","R's concern about women's rights"
"846","fethink","How oft R & frnds think abt women's rgts"
"847","fewrite","R ever written official abt women's rgts"
"848","fegive","Has R given money to women's rights orgs"
"849","fejoin","Ever joined org working on women's rgts"
"850","abdefect","Strong chance of serious defect"
"851","abnomore","Married--wants no more children"
"852","abhlth","Woman's health seriously endangered"
"853","abpoor","Low income--cant afford more children"
"854","abrape","Pregnant as result of rape"
"855","absingle","Not married"
"856","abany","Abortion if woman wants for any reason"
"857","aborct","Heard supreme court decision on abortion"
"858","abpro1","1st argument for abortion"
"859","abpro2","2nd argument for abortion"
"860","abpro3","3rd argument for abortion"
"861","abcon1","1st argument against abortion"
"862","abcon2","2nd argument against abortion"
"863","abcon3","3rd argument against abortion"
"864","abimp","Importance of abortion issue to R"
"865","abinfo","How much info does R have on abortion"
"866","abfirm","How firm is R's opinion on abortion"
"867","abcare","How concerned is R about abortion"
"868","chldidel","Ideal number of children"
"869","chldmore","Expect more children"
"870","chldnum","How many children expected"
"871","chldsoon","Children expected in 5 years"
"872","pill","Birth control information"
"873","teenpill","Birth control information to teens"
"874","pilloky","Birth control to teenagers 14-16 (form 2)"
"875","pillok","Birth control to teenagers 14-16"
"876","sexeduc","Sex education in public schools"
"877","divlaw","Divorce laws"
"878","divlawy","Divorce laws-Version Y"
"879","spdue","Ever entitled to alimony or chld support"
"880","sppaid","Regularly received alimony - chld supprt"
"881","premarsx","Sex before marriage"
"882","teensex","Sex before marriage:teens 14-16"
"883","xmarsex","Sex with person other than spouse"
"884","homosex","Homosexual sex relations"
"885","homochng","Homosexuality: inherent or choice?"
"886","porninf","Materials provide info about sex"
"887","pornmorl","Materials lead to breakdown in morals"
"888","pornrape","Materials lead to rape"
"889","pornout","Materials provide outlet"
"890","pornlaw","Feelings about pornography laws"
"891","xmovie","Seen x-rated movie in last year"
"892","xmovie1","Seen porn film (theater or vcr) last yr"
"893","pornimp","Importance of pornography issue to R"
"894","porninfo","How much info Does R have on porn issue"
"895","pornfirm","How firm Is R's opinion on porn issue"
"896","spanking","Favor spanking to discipline child"
"897","letdie1","Allow incurable patients to die"
"898","letdie1y","Allow incurable patients to die (form 2)"
"899","letdie2","Let patients die if doctors agree"
"900","suicide1","Suicide if incurable disease"
"901","suicide2","Suicide if bankrupt"
"902","suicide3","Suicide if dishonored family"
"903","suicide4","Suicide if tired of living"
"904","strike","Picketing for labor strike"
"905","civright","Civil rights demonstration"
"906","antiwar","Anti-war demonstration"
"907","prowar","Pro-war demonstration"
"908","school","School related demonstration"
"909","hit","Ever punched or beaten by another person"
"910","hitage","Beaten as child or adult"
"911","hitnum","If beaten--how many times"
"912","gun","Ever threatened with gun or shot at"
"913","gunage","Threatened or shot at as child or adult"
"914","gunnum","If threatened or shot at--how many times"
"915","hitok","Ever approve of man punching adult male"
"916","hitmarch","Stranger in protest march"
"917","hitdrunk","Drunk bumped into man & wife"
"918","hitchild","Stranger had hit mans child"
